Categoria;Item;Referencia;Cantidad;Estado;Costo promedio;Total
Cerveza;Czechvar Botella 330ml;8594403110128;0;Activo;$18.961;$0
Cerveza;Liefmans Fruitesse 250 ml;5411686700118;4;Activo;$4.360;$17.439
Cerveza;Duvel 330 ml;5411681014005;0;Activo;$9.814;$0
Cerveza;Maredsous Blonde Blond  330 ml;5411681035000;0;Activo;$19.423;$0
Cerveza;Maredsous Brune  330 ml;5411681037004;0;Activo;$10.189;$0
Cerveza;Maredsous Triple  330 ml;5411681038001;0;Activo;$7.809;$0
Cerveza;Vedett Extra IPA 330ml;5411681401775;0;Activo;$9.362;$0
Cerveza;Vedett Extra White 330ml;5411681400310;0;Activo;$4.418;$0
Cerveza;Paulaner Dunkel Botella 500ml;4066600303336;3;Activo;$18.273;$54.819
Cerveza sin alcohol;Paulaner Alkoholfrei  Sin Alcohol 500ml;4066600612049;0;Activo;$4.288;$0
Cerveza;Paulaner Salvator DoppelBock Lager 330ml;4066600611349;0;Activo;$7.414;$0
Cerveza;Adnams Ghost Ship Pale Ale 500ml;4600682407478;2;Activo;$28.834;$57.668
Cerveza;Adnams Blakshore Stout 500ml;4600682011477;1;Activo;$15.173;$15.173
Cerveza;Adnams  Kobold English 500ml;4600682009450;2;Activo;$34.993;$69.985
Cerveza;Kristoffel White 330ml;5011885003647;5;Activo;$11.916;$59.580
Cerveza;Kristoffel Blonde 330ml;5411616000448;5;Activo;$15.007;$75.033
Cerveza;Straffe Hendrik Quadrupel 330ml;5011885008338;0;Activo;$47.848;$0
Cerveza;Sidra Brothers 330ml;5027342002962;24;Activo;$10.557;$253.367
Cerveza;Liefmans Kriek Brut 330 ml;5411686700637;0;Activo;$9.445;$0
Cerveza;Liefmans Goudenband 330 ml;5411686700668;0;Activo;$9.445;$0
Cerveza;Weidmann Strong 500ml;8718104901599;12;Activo;$7.518;$90.222
Sidra;Sidra Aspall Draught 330ml;5012845177255;0;Activo;$7.706;$0
Sidra;Sidra Stowford Press 500ml;5014201800654;0;Activo;$23.985;$0
Cerveza;Paulaner NaturTrub  Weissbier Barril 5 Litros 5l;4066600601951;0;Activo;$5.482;$0
Cerveza;Paulaner Ocktoberfest Botella 500ml;;0;Activo;$8.507;$0
Cerveza;Paulaner Weissbier Botella 500ml;4066600060741;4;Activo;$1.012;$4.048
Cerveza;Delirium Tremens 330ml;5412186000098;11;Activo;$37.095;$408.046
Cerveza;Aguila Original Botella 330ml;7702004002013;0;Activo;$1.937;$0
Cerveza;Pokeron Poker 750ml;7702004007643;23;Activo;$4.450;$102.345
Cerveza;Costeña Bacana 330Ml;7702004005649;0;Activo;$1.549;$0
Cerveza;Cola Y Pola Botella 330ml;;0;Activo;$1.600;$0
Cerveza;Aguila Light Botella 330ml;7702004002051;0;Activo;$2.083;$0
Cerveza;Paulaner Weissbier  Lata 500ml;4066600601920;-3;Activo;$10.541;-$31.623
Cerveza;Chimay Roja 330 ml;5410908000012;0;Activo;$11.682;$0
Cerveza;Chimay Blanca 330ml;5410908000029;2;Activo;$19.680;$39.361
Cerveza;Schofferhofer 500ml;4053400001838;0;Activo;$5.146;$0
Cerveza;Erdinger Pikantus 500ml;4002103257707;2;Activo;$8.184;$16.368
Cerveza;Brewdog Punk Ipa 1996 330ml;5056025440494;0;Activo;$17.917;$0
Bebidas no alcoholicas;Bretaña 300ml;;10;Activo;$437;-$3.058
Bebidas no alcoholicas;Agua Cristal 600ml;7702090022711;21;Activo;$1.180;$24.787
Cerveza;Poker Pura Malta Lata 330ml;7702004008077;0;Activo;$1.110;$0
Cerveza;Stella Artois Lata 250Ml;5410228240945;0;Activo;$1.098;$0
Cerveza;Stella Artois Botella 330ml;7501064199141;40;Activo;$2.610;$104.388
Cerveza;Budweiser 330ml;7702004110596;10;Activo;$1.222;-$14.669
Cerveza;Club Colombia Dorada Lata 330Ml;7702004003508;74;Activo;$2.123;$157.092
Cerveza;Club Colombia Roja Lata 330ml;7702004003621;43;Activo;$2.641;$113.582
Cerveza;Corona Extra 355ml;7702004110718;40;Activo;$4.947;$197.861
Cerveza;Coronita 210ml;7702004110701;40;Activo;$2.107;$84.282
Licores;Vodka Smirnoff Lulo 750Ml;7707096271682;2;Activo;$19.538;$39.076
Licores;Electrolit;7702534100029;3;Activo;$6.800;$20.400
Licores;Sabajon Apolo Vainilla 750ml;7702534100012;0;Activo;$12.948;$0
Licores;Crema Les Deux 750ml;;0;Activo;$19.679;$0
Licores;Crema De Ron Cheers 750ml;7702168247732;0;Activo;$27.921;$0
Licores;Crema Baileys 375ml;5011013100194;1;Activo;$30.212;$30.212
Licores;Ginebra Tanqueray 750ml;5000281015248;1;Activo;$65.327;$65.327
Licores;Ginebra Bombay 500ml;5010677713009;0;Activo;$23.238;$0
Licores;Ginebra Gordons 700ml;5000289925440;0;Activo;$36.452;$0
Licores;Ron Medellin 375ml;7702049100583;4;Activo;$14.947;$59.789
Licores;Ron Caldas Roble Blanco 750ml;;3;Activo;$399.413;$1.198.238
Licores;Ron Caldas 8 Años 375Ml;7702168254402;1;Activo;$26.070;$26.070
Licores;Ron Caldas 5 Años 375 ml;7702168240405;1;Activo;$30.854;$30.854
Licores;Ron Bacardi Mojito 750ml;80480985462;1;Activo;$20.198;$20.198
Licores;Ron Bacardí Tradicional 750ml;7501008603017;1;Activo;$27.477;$27.477
Licores;Ron Caldas 5 Años 750ml;7702168239201;2;Activo;$95.746;$191.492
Licores;Ron Bacardi Limon 375ml;80480355609;0;Activo;$15.063;$0
Licores;Tequila Olmeca Blanco 750Ml;80432402191;2;Activo;$46.225;$92.450
Licores;Tequila Jimador Blanco 750Ml;744607002301;1;Activo;$39.929;$39.929
Licores;Tequila Jose Cuervo Blanco 750Ml;7501035042322;1;Activo;$48.368;$48.368
